2025-08-31 17:23:19.582 | INFO     | __main__:processar_pmm:138 - Processo concluído.
2025-09-01 19:19:48.739 | INFO     | __main__:processar_pmm:64 - Iniciando automação da aba: PMM
2025-09-01 19:19:49.629 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:20:29.635 | ERROR    | __main__:processar_pmm:132 - 22988817000152 → ERRO: TimeoutError: Page.goto: Timeout 40000ms exceeded.
Call log:
  - navigating to "https://semefatende.manaus.am.gov.br/servicoJanela.php?servico=1412", waiting until "load"

2025-09-01 19:20:29.637 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 24061787000160
2025-09-01 19:20:37.261 | ERROR    | __main__:processar_pmm:132 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to "https://semefatende.manaus.am.gov.br/servicoJanela.php?servico=1412", waiting until "load"

2025-09-01 19:20:37.263 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61745095000167
2025-09-01 19:20:37.265 | ERROR    | __main__:processar_pmm:132 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.266 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 07098574000193
2025-09-01 19:20:37.268 | ERROR    | __main__:processar_pmm:132 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.270 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61289975000176
2025-09-01 19:20:37.271 | ERROR    | __main__:processar_pmm:132 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.273 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 32181064000122
2025-09-01 19:20:37.275 | ERROR    | __main__:processar_pmm:132 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.276 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 45880695000181
2025-09-01 19:20:37.277 | ERROR    | __main__:processar_pmm:132 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.279 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41070149000124
2025-09-01 19:20:37.281 | ERROR    | __main__:processar_pmm:132 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.283 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47274662000113
2025-09-01 19:20:37.286 | ERROR    | __main__:processar_pmm:132 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.288 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38112365000180
2025-09-01 19:20:37.290 | ERROR    | __main__:processar_pmm:132 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.292 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 30080700000102
2025-09-01 19:20:37.294 | ERROR    | __main__:processar_pmm:132 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.295 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 43023281000100
2025-09-01 19:20:37.297 | ERROR    | __main__:processar_pmm:132 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.299 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 35856232000120
2025-09-01 19:20:37.302 | ERROR    | __main__:processar_pmm:132 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.304 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 51516274000179
2025-09-01 19:20:37.306 | ERROR    | __main__:processar_pmm:132 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.307 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 53165195000196
2025-09-01 19:20:37.309 | ERROR    | __main__:processar_pmm:132 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.310 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 09461099000101
2025-09-01 19:20:37.312 | ERROR    | __main__:processar_pmm:132 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.314 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 21967775000100
2025-09-01 19:20:37.315 | ERROR    | __main__:processar_pmm:132 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.317 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38059475000126
2025-09-01 19:20:37.319 | ERROR    | __main__:processar_pmm:132 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.320 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47766186000158
2025-09-01 19:20:37.322 | ERROR    | __main__:processar_pmm:132 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.324 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41505475000117
2025-09-01 19:20:37.325 | ERROR    | __main__:processar_pmm:132 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.327 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 50992729000160
2025-09-01 19:20:37.328 | ERROR    | __main__:processar_pmm:132 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.329 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 00058886621272
2025-09-01 19:20:37.331 | ERROR    | __main__:processar_pmm:132 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.332 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 17871432000170
2025-09-01 19:20:37.334 | ERROR    | __main__:processar_pmm:132 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.336 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 05962437000120
2025-09-01 19:20:37.337 | ERROR    | __main__:processar_pmm:132 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:20:37.466 | INFO     | __main__:processar_pmm:138 - Processo concluído.
2025-09-01 19:21:25.113 | INFO     | __main__:processar_pmm:64 - Iniciando automação da aba: PMM
2025-09-01 19:21:26.026 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:21:47.820 | ERROR    | __main__:processar_pmm:132 - 22988817000152 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to "https://semefatende.manaus.am.gov.br/servicoJanela.php?servico=1412", waiting until "load"

2025-09-01 19:21:47.823 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 24061787000160
2025-09-01 19:21:47.826 | ERROR    | __main__:processar_pmm:132 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.828 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61745095000167
2025-09-01 19:21:47.830 | ERROR    | __main__:processar_pmm:132 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.832 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 07098574000193
2025-09-01 19:21:47.834 | ERROR    | __main__:processar_pmm:132 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.836 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61289975000176
2025-09-01 19:21:47.838 | ERROR    | __main__:processar_pmm:132 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.840 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 32181064000122
2025-09-01 19:21:47.842 | ERROR    | __main__:processar_pmm:132 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.843 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 45880695000181
2025-09-01 19:21:47.845 | ERROR    | __main__:processar_pmm:132 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.847 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41070149000124
2025-09-01 19:21:47.849 | ERROR    | __main__:processar_pmm:132 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.850 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47274662000113
2025-09-01 19:21:47.853 | ERROR    | __main__:processar_pmm:132 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.854 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38112365000180
2025-09-01 19:21:47.855 | ERROR    | __main__:processar_pmm:132 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.857 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 30080700000102
2025-09-01 19:21:47.858 | ERROR    | __main__:processar_pmm:132 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
