2025-09-01 19:51:11.767 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 00058886621272
2025-09-01 19:51:11.769 | ERROR    | __main__:processar_cdt:135 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.770 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 17871432000170
2025-09-01 19:51:11.772 | ERROR    | __main__:processar_cdt:135 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.773 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 05962437000120
2025-09-01 19:51:11.775 | ERROR    | __main__:processar_cdt:135 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.889 | INFO     | __main__:processar_cdt:141 - Processo concluído.
2025-09-01 19:51:32.151 | INFO     | __main__:processar_cdt:63 - Iniciando automação da aba: CDT
2025-09-01 19:51:33.066 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 22988817000152
2025-09-01 19:51:36.552 | ERROR    | __main__:processar_cdt:135 - 22988817000152 → ERRO: TargetClosedError: Locator.fill: Target page, context or browser has been closed
Call log:
  - waiting for get_by_role("textbox", name="Registro no Cadastro Nacional")

2025-09-01 19:51:36.554 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 24061787000160
2025-09-01 19:51:36.556 | ERROR    | __main__:processar_cdt:135 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.558 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 61745095000167
2025-09-01 19:51:36.560 | ERROR    | __main__:processar_cdt:135 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.562 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 07098574000193
2025-09-01 19:51:36.564 | ERROR    | __main__:processar_cdt:135 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.566 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 61289975000176
2025-09-01 19:51:36.568 | ERROR    | __main__:processar_cdt:135 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.569 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 32181064000122
2025-09-01 19:51:36.571 | ERROR    | __main__:processar_cdt:135 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.573 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 45880695000181
2025-09-01 19:51:36.575 | ERROR    | __main__:processar_cdt:135 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.576 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 11999645000104
2025-09-01 19:51:36.579 | ERROR    | __main__:processar_cdt:135 - 11999645000104 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.580 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 41070149000124
2025-09-01 19:51:36.583 | ERROR    | __main__:processar_cdt:135 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.584 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 00060631600272
2025-09-01 19:51:36.586 | ERROR    | __main__:processar_cdt:135 - 00060631600272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.588 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 47274662000113
2025-09-01 19:51:36.590 | ERROR    | __main__:processar_cdt:135 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.592 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 38112365000180
