2025-09-01 10:30:27.494 | ERROR    | __main__:processar_mte:119 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.495 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 17871432000170
2025-09-01 10:30:27.496 | ERROR    | __main__:processar_mte:119 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.497 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 05962437000120
2025-09-01 10:30:27.499 | ERROR    | __main__:processar_mte:119 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.623 | INFO     | __main__:processar_mte:125 - Processo concluído.
2025-09-01 10:33:45.062 | INFO     | __main__:processar_mte:61 - Iniciando automação da aba: MTE
2025-09-01 10:33:45.944 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 22988817000152
2025-09-01 10:33:47.189 | ERROR    | __main__:processar_mte:119 - 22988817000152 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to "https://eprocesso.sit.trabalho.gov.br/Entrar?ReturnUrl=%2FCertidao%2FEmitir", waiting until "load"

2025-09-01 10:33:47.191 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 24061787000160
2025-09-01 10:33:47.194 | ERROR    | __main__:processar_mte:119 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.196 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 61745095000167
2025-09-01 10:33:47.198 | ERROR    | __main__:processar_mte:119 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.200 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 07098574000193
2025-09-01 10:33:47.202 | ERROR    | __main__:processar_mte:119 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.203 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 61289975000176
2025-09-01 10:33:47.206 | ERROR    | __main__:processar_mte:119 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.209 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 32181064000122
2025-09-01 10:33:47.212 | ERROR    | __main__:processar_mte:119 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.213 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 45880695000181
2025-09-01 10:33:47.216 | ERROR    | __main__:processar_mte:119 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.217 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 11999645000104
2025-09-01 10:33:47.219 | ERROR    | __main__:processar_mte:119 - 11999645000104 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.221 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 41070149000124
2025-09-01 10:33:47.223 | ERROR    | __main__:processar_mte:119 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.224 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 00060631600272
2025-09-01 10:33:47.226 | ERROR    | __main__:processar_mte:119 - 00060631600272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.228 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 47274662000113
2025-09-01 10:33:47.231 | ERROR    | __main__:processar_mte:119 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.232 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 38112365000180
2025-09-01 10:33:47.234 | ERROR    | __main__:processar_mte:119 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.236 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 30080700000102
2025-09-01 10:33:47.238 | ERROR    | __main__:processar_mte:119 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.239 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 43023281000100
2025-09-01 10:33:47.242 | ERROR    | __main__:processar_mte:119 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.243 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 35856232000120
2025-09-01 10:33:47.245 | ERROR    | __main__:processar_mte:119 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.247 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 51516274000179
2025-09-01 10:33:47.249 | ERROR    | __main__:processar_mte:119 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.250 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 53165195000196
2025-09-01 10:33:47.252 | ERROR    | __main__:processar_mte:119 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.254 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 09461099000101
2025-09-01 10:33:47.256 | ERROR    | __main__:processar_mte:119 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.257 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 21967775000100
2025-09-01 10:33:47.259 | ERROR    | __main__:processar_mte:119 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.259 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 38059475000126
2025-09-01 10:33:47.261 | ERROR    | __main__:processar_mte:119 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.262 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 47766186000158
2025-09-01 10:33:47.263 | ERROR    | __main__:processar_mte:119 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.264 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 00000863578241
2025-09-01 10:33:47.266 | ERROR    | __main__:processar_mte:119 - 00000863578241 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.267 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 41505475000117
2025-09-01 10:33:47.268 | ERROR    | __main__:processar_mte:119 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.269 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 50992729000160
2025-09-01 10:33:47.270 | ERROR    | __main__:processar_mte:119 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.271 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 00058886621272
2025-09-01 10:33:47.273 | ERROR    | __main__:processar_mte:119 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.274 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 17871432000170
2025-09-01 10:33:47.275 | ERROR    | __main__:processar_mte:119 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.276 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 05962437000120
2025-09-01 10:33:47.277 | ERROR    | __main__:processar_mte:119 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.412 | INFO     | __main__:processar_mte:125 - Processo concluído.
2025-09-01 10:33:52.401 | INFO     | __main__:processar_mte:61 - Iniciando automação GOV.BR no MTE
2025-09-01 10:34:16.519 | INFO     | __main__:processar_mte:74 - Acessando a página inicial do MTE...
2025-09-01 10:34:17.920 | INFO     | __main__:processar_mte:78 - Clicando em 'Entrar com GOV.BR'
2025-09-01 10:34:18.464 | INFO     | __main__:processar_mte:82 - Preenchendo CPF...
2025-09-01 10:34:19.027 | INFO     | __main__:processar_mte:87 - Aguardando usuário inserir a senha ou fazer autenticação manual...
2025-09-01 10:34:19.803 | INFO     | __main__:processar_mte:92 - Screenshot salva em: certidoes_baixadas/MTE/tela_login_govbr_02448982198.png
2025-09-01 10:35:43.130 | INFO     | __main__:processar_mte:105 - Processo encerrado.
2025-09-01 10:39:22.670 | INFO     | __main__:processar_mte:61 - Iniciando automação GOV.BR no MTE
2025-09-01 10:39:23.575 | INFO     | __main__:processar_mte:71 - Acessando a página inicial do MTE...
2025-09-01 10:39:25.049 | INFO     | __main__:processar_mte:75 - Clicando em 'Entrar com GOV.BR'
2025-09-01 10:39:25.495 | INFO     | __main__:processar_mte:79 - Preenchendo CPF...
2025-09-01 10:39:26.058 | INFO     | __main__:processar_mte:84 - Aguardando usuário inserir a senha ou fazer autenticação manual...
